hero,role,data_tier,map,map_name,update_date,win_rate,pick_rate,ban_rate,win_rate_z,pick_rate_log,pick_rate_z,total_score,rank
D.VA,Tank,All,all-maps,전체 전장,2026-05-18,48.5,6.7,24.3,-0.38155491142856435,2.0412203288596382,-0.2132826191300601,0.06276195179952487,A
겐지,Damage,All,all-maps,전체 전장,2026-05-18,52.2,14.1,1.7,1.1802544548744844,2.714694743820879,0.9136183568697548,0.7804882825234334,S
도미나,Tank,All,all-maps,전체 전장,2026-05-18,52.3,4.8,5.5,1.2224655188286184,1.7578579175523736,-0.6874229439443217,0.4788272874219382,A
둠피스트,Tank,All,all-maps,전체 전장,2026-05-18,52.0,6.1,36.3,1.0958323269662102,1.9600947840472698,-0.3490271308689895,0.8303441144383232,S
라마트라,Tank,All,all-maps,전체 전장,2026-05-18,48.7,6.3,2.1,-0.2971327835202903,1.9878743481543455,-0.30254456640970756,-0.29828043377426394,B
라이프위버,Support,All,all-maps,전체 전장,2026-05-18,47.2,6.4,0.6,-0.9302987428323366,2.0014800002101243,-0.2797787088802075,-0.7266387974590341,C
라인하르트,Tank,All,all-maps,전체 전장,2026-05-18,48.6,7.1,0.8,-0.33934384747442736,2.0918640616783932,-0.12854224789411142,-0.3646689938210559,B
레킹볼,Tank,All,all-maps,전체 전장,2026-05-18,48.1,2.7,7.2,-0.5503991672451094,1.308332819650179,-1.4395974294317169,-0.5915945191391848,C
로드호그,Tank,All,all-maps,전체 전장,2026-05-18,42.9,5.7,3.0,-2.7453744928602046,1.9021075263969205,-0.446055163100165,-1.5197459693343023,C
루시우,Support,All,all-maps,전체 전장,2026-05-18,46.6,5.5,0.3,-1.1835651265571558,1.8718021769015913,-0.4967640351309865,-0.9556024718501539,C
리퍼,Damage,All,all-maps,전체 전장,2026-05-18,52.9,15.9,5.2,1.4757319025534374,2.827313621929028,1.102059552016539,1.1338316146090262,S
